GEOID_ZCTA5_20,GEOID_COUNTY_20,NAMELSAD_COUNTY_20,AREALAND_PART
81210,08051,Gunnison County,1246973748
83001,56039,Teton County,1246908241
81152,08023,Costilla County,1245723745
78377,48391,Refugio County,1244835492
80512,08069,Larimer County,1244290924
97722,41025,Harney County,1243901182
83211,16077,Power County,1243854301
82431,56003,Big Horn County,1242827992
99841,02105,Hoonah-Angoon Census Area,1242674080
59030,30067,Park County,1241433989
36426,01053,Escambia County,1241317865
82601,56025,Natrona County,1239998286
76528,48099,Coryell County,1239345085
98363,53009,Clallam County,1238957745
95363,06099,Stanislaus County,1238819327
98862,53047,Okanogan County,1237968326
81211,08015,Chaffee County,1237179354
82523,56013,Fremont County,1234393559
80751,08075,Logan County,1232303518
81040,08055,Huerfano County,1229563248
88049,35017,Grant County,1228439569
59405,30013,Cascade County,1227308569
97413,41039,Lane County,1226993704
84534,49037,San Juan County,1226769519
81041,08099,Prowers County,1226327511
57730,46033,Custer County,1225316074
79201,48075,Childress County,1224675320
76384,48487,Wilbarger County,1224439722
56751,27135,Roseau County,1223752093
99166,53019,Ferry County,1222716681
86031,04017,Navajo County,1221604102
79336,48219,Hockley County,1220018850
79316,48445,Terry County,1217529261
67864,20119,Meade County,1215371179
82401,56043,Washakie County,1215174119
75835,48225,Houston County,1214519716
59901,30029,Flathead County,1214057913
79035,48369,Parmer County,1212863605
98620,53039,Klickitat County,1212805692
85610,04003,Cochise County,1212310429
59250,30105,Valley County,1209866826
86512,04001,Apache County,1208920528
76825,48307,McCulloch County,1206543840
57543,46071,Jackson County,1206077855
59729,30057,Madison County,1205374928
49953,26131,Ontonagon County,1204212655
81639,08107,Routt County,1202855166
98244,53073,Whatcom County,1200864216
84759,49017,Garfield County,1199856806
97758,41025,Harney County,1198929749
59003,30075,Powder River County,1195335517
83254,16007,Bear Lake County,1193960691
97812,41021,Gilliam County,1193476590
59058,30033,Garfield County,1191925902
59332,30011,Carter County,1189989982
59039,30087,Rosebud County,1187064740
73834,40059,Harper County,1186528195
88021,35013,Doña Ana County,1185189540
71730,05139,Union County,1184724546
80701,08087,Morgan County,1183590746
49935,26071,Iron County,1183582494
04936,23007,Franklin County,1180127321
78834,48127,Dimmit County,1179567059
83637,16015,Boise County,1178371901
56653,27071,Koochiching County,1175734780
79852,48043,Brewster County,1174326617
81328,08083,Montezuma County,1174278672
69162,31033,Cheyenne County,1173298713
99732,02240,Southeast Fairbanks Census Area,1172383510
69163,31113,Logan County,1172234917
79847,48109,Culberson County,1172112486
57362,46059,Hand County,1169327768
79346,48079,Cochran County,1167521621
86034,04017,Navajo County,1166176355
97846,41063,Wallowa County,1165104753
67758,20199,Wallace County,1163235727
84734,49055,Wayne County,1162321054
58639,38001,Adams County,1162275393
98283,53073,Whatcom County,1161814507
59024,30111,Yellowstone County,1159710101
79754,48301,Loving County,1158889914
49854,26153,Schoolcraft County,1158599058
98022,53033,King County,1156809662
98848,53025,Grant County,1156448609
58645,38007,Billings County,1156068535
69351,31161,Sheridan County,1154086613
57644,46105,Perkins County,1153058068
67045,20073,Greenwood County,1151526709
32344,12065,Jefferson County,1151493728
98856,53047,Okanogan County,1151063715
59632,30043,Jefferson County,1150090571
99140,53019,Ferry County,1147658182
49878,26041,Delta County,1147037743
79731,48103,Crane County,1143586153
67831,20025,Clark County,1143486314
89060,32023,Nye County,1142058768
99790,02290,Yukon-Koyukuk Census Area,1141198986
79851,48229,Hudspeth County,1140391557
95321,06109,Tuolumne County,1140176264
76834,48083,Coleman County,1140086430
39367,28153,Wayne County,1138185258
79235,48153,Floyd County,1137503345
67855,20187,Stanton County,1137476956
82325,56007,Carbon County,1135244866
39669,28157,Wilkinson County,1133694705
83522,16049,Idaho County,1132626439
98822,53007,Chelan County,1131712606
87528,35039,Rio Arriba County,1131621999
55616,27075,Lake County,1131006704
99631,02122,Kenai Peninsula Borough,1130911605
88124,35009,Curry County,1129913887
88041,35017,Grant County,1129319892
57438,46049,Faulk County,1126904304
79854,48243,Jeff Davis County,1124535881
99840,02230,Skagway Municipality,1123881121
59544,30071,Phillips County,1123033515
80449,08093,Park County,1118201642
58249,38019,Cavalier County,1117524623
57559,46075,Jones County,1116047784
39194,28163,Yazoo County,1115788918
95490,06045,Mendocino County,1114002102
57564,46119,Sully County,1111746143
74525,40005,Atoka County,1111742396
99724,02290,Yukon-Koyukuk Census Area,1111290005
59032,30027,Fergus County,1110683388
58401,38093,Stutsman County,1110347725
58640,38025,Dunn County,1109804488
93446,06079,San Luis Obispo County,1109390022
85550,04007,Gila County,1109209070
59086,30067,Park County,1108535866
79084,48421,Sherman County,1108520441
86413,04015,Mohave County,1108428634
85264,04013,Maricopa County,1108365609
87499,35045,San Juan County,1108365089
31087,13141,Hancock County,1108020188
89404,32013,Humboldt County,1104745513
59843,30077,Powell County,1102426880
96091,06105,Trinity County,1101924204
85357,04012,La Paz County,1101272911
97868,41059,Umatilla County,1100017711
39470,28109,Pearl River County,1100015646
84775,49055,Wayne County,1100004368
